quote_id,route_id,airline_iata,collected_at,departure_at,lead_days,price_brl,duration_min,stops
q1,GRU_SSA,LA,2026-08-20T12:00:00Z,2026-09-12T09:15:00Z,23,892.40,155,0
q2,GRU_SSA,G3,2026-08-20T12:00:00Z,2026-09-12T11:40:00Z,23,764.00,160,0
q3,GRU_SSA,AD,2026-08-20T12:00:00Z,2026-09-12T16:05:00Z,23,711.90,245,1
q4,GRU_GIG,LA,2026-08-22T08:00:00Z,2026-09-05T07:00:00Z,14,412.00,70,0
q5,GRU_GIG,G3,2026-08-22T08:00:00Z,2026-09-05T18:30:00Z,14,389.50,75,0
q6,GRU_BSB,LA,2026-08-21T10:00:00Z,2026-09-18T06:45:00Z,28,618.00,110,0
q7,GRU_FOR,G3,2026-08-19T15:00:00Z,2026-10-02T08:20:00Z,44,978.30,210,0
q8,CGH_SDU,G3,2026-08-23T09:00:00Z,2026-09-01T10:00:00Z,9,356.00,65,0
q9,GRU_POA,LA,2026-08-18T11:00:00Z,2026-09-20T13:10:00Z,33,704.80,105,0
q10,GIG_SSA,AD,2026-08-20T12:00:00Z,2026-09-15T21:00:00Z,26,641.20,140,0
