route_id,current_price_brl,hist_avg_brl,predicted_change_pct,action,model_confidence,as_of
GRU_SSA,711.90,802.40,0.072,COMPRAR,0.74,2026-08-27T12:00:00Z
GRU_GIG,389.50,401.10,0.018,MONITORAR,0.61,2026-08-27T12:00:00Z
GRU_BSB,618.00,590.20,-0.081,AGUARDAR,0.69,2026-08-27T12:00:00Z
GRU_FOR,978.30,940.00,0.054,COMPRAR,0.58,2026-08-27T12:00:00Z
CGH_SDU,356.00,348.70,-0.012,MONITORAR,0.66,2026-08-27T12:00:00Z
GRU_POA,704.80,755.00,0.041,MONITORAR,0.55,2026-08-27T12:00:00Z
GIG_SSA,641.20,688.40,0.063,COMPRAR,0.70,2026-08-27T12:00:00Z
GRU_REC,845.00,810.00,-0.062,AGUARDAR,0.64,2026-08-27T12:00:00Z
GRU_CWB,512.00,498.00,0.009,MONITORAR,0.52,2026-08-27T12:00:00Z
GRU_FLN,689.00,720.50,0.088,COMPRAR,0.71,2026-08-27T12:00:00Z
